Student_ID,Position,Department,Teaching_Score,Years_at_HUJI,Office_Type,Beloved
10001,Staff,Bio,Med,2-5,Shared,No
10002,TA,Bio,High,2-5,Shared,Yes
10003,Staff,Bio,High,5+,Private,Yes
10004,Staff,Bio,Low,5+,Shared,No
10005,TA,CS,High,5+,Shared,Yes
10006,TA,Bio,Low,2-5,Shared,No
10007,Staff,Humanities,Low,2-5,Shared,No
10008,Professor,Humanities,Med,2-5,Private,No
10009,Staff,Bio,Med,5+,Shared,No
10010,Staff,Bio,Med,2-5,Private,No
10011,Staff,Humanities,Low,1-2,Shared,No
10012,Staff,Humanities,Med,1-2,Private,No
10013,TA,CS,High,2-5,Private,Yes
10014,Staff,Humanities,High,1-2,Private,Yes
10015,Professor,Humanities,Low,1-2,Private,No
10016,TA,Bio,Low,5+,Private,No
10017,Professor,Humanities,Med,2-5,Shared,No
10018,Professor,CS,Low,2-5,Shared,No
10019,Professor,Humanities,Low,5+,Shared,No
10020,Professor,Bio,High,1-2,Private,Yes
10021,TA,Bio,High,1-2,Shared,Yes
10022,TA,Humanities,Med,2-5,Private,No
10023,Professor,Bio,Low,1-2,Private,No
10024,Professor,CS,Low,5+,Shared,No
10025,TA,CS,High,5+,Shared,Yes
10026,TA,Humanities,Low,2-5,Private,No
10027,TA,Humanities,High,5+,Private,Yes
10028,Staff,Humanities,Med,5+,Shared,No
10029,Staff,Bio,High,2-5,Shared,Yes
10030,Staff,CS,Low,5+,Shared,No
10031,Professor,CS,Med,5+,Shared,Yes
10032,Staff,Bio,High,5+,Private,Yes
10033,Professor,CS,High,1-2,Shared,Yes
10034,Professor,Humanities,Med,2-5,Shared,No
10035,Staff,Humanities,Med,2-5,Shared,No
10036,Professor,Humanities,High,2-5,Private,Yes
10037,Staff,CS,Low,1-2,Private,No
10038,Staff,Humanities,High,1-2,Private,Yes
10039,TA,Bio,Med,2-5,Private,No
10040,Staff,Bio,High,1-2,Shared,Yes
10041,TA,CS,Med,2-5,Private,Yes
10042,Staff,Bio,Med,1-2,Shared,No
10043,Staff,Bio,Low,5+,Shared,No
10044,TA,CS,Med,5+,Shared,Yes
10045,TA,Humanities,Med,2-5,Shared,No
10046,Staff,Humanities,Low,1-2,Private,No
10047,Professor,Humanities,Med,1-2,Private,No
10048,TA,CS,Low,5+,Private,No
10049,Professor,Bio,Low,5+,Shared,No
10050,Professor,Humanities,Med,1-2,Shared,No
10051,Professor,Humanities,Med,1-2,Shared,No
10052,TA,CS,High,1-2,Shared,Yes
10053,Professor,Humanities,Low,1-2,Shared,No
10054,TA,CS,High,1-2,Private,Yes
10055,Professor,Bio,Med,1-2,Shared,No
10056,Staff,CS,High,2-5,Private,Yes
10057,Staff,CS,Low,1-2,Shared,No
10058,TA,CS,High,5+,Shared,Yes
10059,Staff,CS,Low,2-5,Private,No
10060,Staff,Bio,Med,1-2,Private,No
10061,Professor,Bio,Med,5+,Shared,No
10062,TA,Humanities,Low,2-5,Shared,No
10063,Professor,Bio,Med,5+,Shared,No
10064,Professor,Bio,Med,1-2,Shared,No
10065,Professor,Humanities,Med,1-2,Private,No
10066,Professor,Bio,Med,1-2,Shared,No
10067,Professor,CS,Low,1-2,Private,No
10068,Professor,CS,High,2-5,Shared,Yes
10069,Professor,Humanities,High,2-5,Private,Yes
10070,TA,Humanities,Med,5+,Private,Yes
10071,Staff,Humanities,High,1-2,Shared,Yes
10072,Professor,CS,High,5+,Private,Yes
10073,Professor,Bio,Med,2-5,Shared,No
10074,Professor,CS,Med,1-2,Private,No
10075,Professor,Humanities,High,1-2,Shared,Yes
10076,Professor,Bio,Low,2-5,Private,No
10077,Professor,Bio,Med,2-5,Shared,No
10078,Staff,CS,Low,2-5,Shared,No
10079,Staff,Humanities,High,2-5,Private,Yes
10080,Professor,CS,Med,2-5,Private,No
10081,Staff,Bio,Low,1-2,Private,No
10082,TA,CS,Med,2-5,Private,Yes
10083,Professor,CS,High,1-2,Shared,Yes
10084,TA,Humanities,Low,1-2,Private,No
10085,TA,Humanities,High,2-5,Shared,Yes
10086,Professor,Bio,High,2-5,Private,Yes
10087,Staff,CS,Med,1-2,Shared,No
10088,TA,CS,Low,2-5,Shared,No
10089,Professor,CS,High,2-5,Shared,Yes
10090,TA,Bio,High,2-5,Shared,Yes
10091,TA,Bio,Low,5+,Private,No
10092,TA,Humanities,High,1-2,Private,Yes
10093,TA,Humanities,High,5+,Shared,Yes
10094,Staff,Humanities,Low,2-5,Private,No
10095,TA,CS,Low,5+,Private,No
10096,TA,CS,Low,2-5,Shared,No
10097,TA,Humanities,Low,5+,Private,No
10098,Staff,CS,Med,2-5,Private,No
10099,TA,Humanities,Low,5+,Private,No
10100,TA,Bio,Med,5+,Shared,Yes
10101,Staff,Humanities,Med,5+,Private,No
10102,Staff,Bio,Med,1-2,Shared,No
10103,Staff,CS,High,5+,Private,Yes
10104,TA,Humanities,Med,1-2,Private,No
10105,Staff,CS,Med,2-5,Private,No
10106,Staff,Bio,High,5+,Shared,Yes
10107,TA,Bio,High,2-5,Shared,Yes
10108,Staff,Bio,High,2-5,Private,Yes
10109,TA,CS,Low,5+,Shared,No
10110,Professor,CS,High,1-2,Private,Yes
10111,Staff,CS,High,5+,Shared,Yes
10112,Professor,CS,Med,2-5,Shared,No
10113,TA,Bio,High,2-5,Private,Yes
10114,Staff,Bio,Low,5+,Private,No
10115,TA,Humanities,High,1-2,Private,Yes
10116,Professor,Humanities,Low,1-2,Private,No
10117,TA,CS,High,2-5,Shared,Yes
10118,Staff,Bio,High,2-5,Shared,Yes
10119,Staff,Bio,High,1-2,Shared,Yes
10120,Professor,Bio,High,5+,Private,Yes
10121,TA,Humanities,Low,2-5,Private,No
10122,Staff,Humanities,Low,1-2,Shared,No
10123,Professor,Bio,Med,2-5,Private,No
10124,Staff,Bio,Low,5+,Shared,No
10125,Staff,Bio,High,1-2,Shared,Yes
10126,TA,Humanities,Med,2-5,Shared,Yes
10127,Staff,Bio,Med,5+,Shared,No
10128,TA,Bio,Med,2-5,Shared,No
10129,Staff,CS,High,5+,Private,Yes
10130,Professor,CS,Low,5+,Private,No
10131,Staff,Humanities,High,1-2,Private,Yes
10132,TA,Bio,Med,5+,Shared,Yes
10133,TA,Bio,High,2-5,Shared,Yes
10134,Professor,CS,High,5+,Shared,Yes
10135,Staff,Humanities,Low,5+,Shared,No
10136,Staff,CS,Low,1-2,Private,No
10137,Professor,CS,Med,5+,Private,No
10138,Staff,CS,High,5+,Shared,Yes
10139,Staff,CS,High,2-5,Shared,Yes
10140,TA,Bio,Low,1-2,Shared,No
10141,Staff,Bio,High,1-2,Private,Yes
10142,Staff,CS,High,1-2,Private,Yes
10143,Professor,Humanities,High,5+,Private,Yes
10144,Professor,Humanities,Low,1-2,Shared,No
10145,TA,Humanities,Med,5+,Shared,No
10146,Staff,Humanities,Med,5+,Private,No
10147,Staff,CS,High,2-5,Shared,Yes
10148,Staff,Bio,Med,2-5,Private,No
