Title,Category_Source,Categories,Authors,Price NIS,Price USD,Year,Synopsis,Synopsis Length,StarRating,NumberOfReviews,Language,Format,Dimensions,Dimensions unit,Weight,Weight Unit,ISBN
"Architectural Digest at 100: A Century of Style  - Astley, Amy ; Architectural Digest ; Wintour, Anna",Arts,Arts,"Architectural Digest, Amy Astley, Anna Wintour",286.93,95.32,2019.0,"""Architectural Digest at 100: A Century of Style "" A rich visual history of Architectural Digest, published for the magazine's 100th anniversary  Architectural Digest at 100 celebrates the best from the pages of the international design authority. The editors have delved into the archives and culled years of rich material covering a range of subjects. Ranging freely between present and past, the book features the personal spaces of dozens of private celebrities like Barack and Michelle Obama, David Bowie, Truman Capote, David Hockney, Michael Kors, and Diana Vreeland, and includes the work of top designers and architects like Frank Gehry, David Hicks, India Mahdavi, Peter Marino, John Fowler, Renzo Mongiardino, Oscar Niemeyer, Axel Vervoordt, Frank Lloyd Wright, and Elsie de Wolfe. Also included are stunning images from the magazine's history by photographers such as Bill Cunningham, Horst P. Horst, Simon Upton, Francois Dischinger, Francois Halard, Julius Shulman, and Oberto Gili.",996,None,2,English,Hardcover,"33.8, 26.2, 3.8",cm,3.52.,kg,9781419733338
Armonía Ilustrada (in Spanish) - Brian Callipari,Arts,Arts,Brian Callipari,173.85,57.77,2025.0,"""Armonía Ilustrada (in Spanish)"" Armonía Ilustrada es una guía visual para explorar la armonía musical desde una mirada lúdica, libre y creativa. A través de gráficos llenos de color, el libro invita a desprenderse del concepto rígido de tonalidad y descubrir caminos que sin los diagramas sería difícil imaginar. No es un manual académico: es una herramienta para disfrutar con la música, encontrar ideas para componer canciones y perderse (o encontrarse) en laberintos armónicos. Incluye textos explicativos de teoría musical, reflexiones filosóficas y propuestas para seguir jugando de forma autodidacta. No contiene partituras, solo cifrados de acordes. Si sabés tocar acordes mayores, menores, disminuidos, aumentados, y podés seguir flechas... Este libro es para vos.",773,None,4,Spanish,Paperback,"21, 30",cm,,,9786310100616
Creative Abstract Watercolor: The Beginner's Guide to Expressive and Imaginative Painting - Kate Rebecca Leach,Arts,Arts,Kate Rebecca Leach,64.77,21.52,,"""Creative Abstract Watercolor: The Beginner's Guide to Expressive and Imaginative Painting"" Learn how to create dynamic, original abstract art using easy techniques and nothing more than watercolor paints and a few pens. Let your creativity loose and start making art, without getting bogged down in detail or accuracy - just allow yourself to experiment, have fun, be present and play with colour, shape and texture to your heart's content. In this unique step-by-step book, you'll discover watercolor techniques, tips and tricks to create your own vibrant art, letting the natural watercolor flow to help form your composition and inspire further mixed media embellishment. Author Kate Rebecca Leach of Essoldo Design has amassed a huge following online for her beautiful abstract artworks. In her debut book, she generously shares her techniques so that even complete beginners will be able to pick up a brush and create stunning works of art. Through a variety of projects, including simple shapes, abstract botanicals, and expressive landscapes, you'll learn easy techniques to combine color, texture, and contrast in exciting ways, and how to add gorgeous embellishments using gel pens and metallics to make your abstract pieces shine. Using this book, you'll be able to create art that you'll be proud to display in your home, gift to friends and family and develop your own portfolio, while having a lot of creative fun in the process.",1443,None,2,English,Paperback,"26.9, 20.6, 1.0",cm,0.48.,kg,9781446310564
"Dune: Exposures - Brolin, Josh ; Fraser, Greig",Arts,Arts,"Josh Brolin, Greig Fraser",175.39,58.28,,"""Dune: Exposures"" Explore the creation of Denis Villeneuve's film adaptations of Dune through this evocative fusion of actor Josh Brolin's sublime writing and cinematographer Greig Fraser's intimate set photography. During the shooting of Dune: Part One and Dune: Part Two, Greig Fraser went beyond standard unit photography and documented the filming process using still photography on a variety of cameras. This led the cinematographer on an unexpected creative journey that yielded an electrifying gallery of photographs. Meanwhile, Brolin, who plays Warmaster Gurney Halleck in the two films, shares his on-set experience through his vivid, poignant writing. Brolin and Fraser developed a unique bond during production, solidifying a connection that led to this remarkable collaboration that seamlessly juxtaposes the actor's enthralling writing with the cinematographer's striking images. An exceptional new way to experience life on the set of the Dune film adaptations, this thrilling ode to the art of filmmaking from two of the most revered artists in the industry is an unmissable publishing event. STUNNING IMAGES:  Curated from photos shot throughout the filming of Dune and Dune: Part Two by cinematographer Greig Fraser, this remarkable volume features his intimate images coupled with Josh Brolin's poignant writing. EXCLUSIVE CONTENT:  Witness candid moments between director Denis Villeneuve and key cast members, including Timothée Chalamet, Rebecca Ferguson, Oscar Isaac, Josh Brolin, Zendaya, and Javier Bardem. UNPARALLELED COLLECTOR'S ITEM:  Singular and unprecedented, Dune: Exposures is a powerful tribute to the films that offers fans a rare and unique look into the experience of creating the movies. COMPLETE YOUR DUNE FILM COLLECTION:  Dune: Exposures is the perfect companion volume to the acclaimed Insight Editions book The Art and Soul of Dune and its sequel The Art and Soul of Dune: Part Two",1925,None,2,English,Hardcover,"28.4, 22.4, 2.6",cm,1.28.,kg,9781647229269
Jojo A-Go!go! - Hirohiko Araki,Arts,Arts,Hirohiko Araki,89.97,29.89,,"""Jojo A-Go!go!"" Let's JoJo A-Go!Go! Hirohiko Araki's JoJo's Bizarre Adventure is a beloved epic with dedicated fans everywhere under the sun. The art book JoJo A-Go!Go! collects exclusive illustrations and color pages as it dances through Stardust Crusaders, Diamond Is Unbreakable, and Golden Wind--and it even includes a peek at Stone Ocean! Available for the first time as a standalone hardcover, this collection of Araki's beautifully bizarre artwork is a truly deluxe package, a funky look at the all-star characters and good vibes that made JoJo's Bizarre Adventure a success!",582,None,8,English,Hardcover,,,0.85.,kg,9781974746859
"Magnum Contact Sheets  - Lubben, Kristen",Arts,Arts,Kristen Lubben,159.12,52.87,2017.0,"""Magnum Contact Sheets "" Available for the first time in an accessible paperback edition, this groundbreaking book presents a remarkable selection of contact sheets and ancillary material, revealing how the most celebrated Magnum photographers capture and edit the very best shots. Addressing key questions of photographic practice, the book illuminates the creative methods, strategies, and editing processes behind some of the world's most iconic images.Featured are 139 contact sheets from sixty- nine photographers, as well as zoom-in details, selected photographs, press cards, notebooks, and spreads from contemporary publications including Life magazine and Picture Post. Further insight into each contact sheet is provided by texts written by the photographers themselves or by experts chosen by the members' estates. Many of the acknowledged greats of photography are featured, including Henri Cartier- Bresson, Elliott Erwitt, and Inge Morath, as well as such members of Magnum's latest generation as Jonas Bendiksen, Alessandra Sanguinetti, and Alec Soth. The contact sheets cover over seventy years of history, from Robert Capa's Normandy landings and the Paris riots of 1968 via Bruno Barbey, to images of Che Geuvara by René Burri, Malcolm X by Eve Arnold, and portraits of classic New Yorkers by Bruce Gilden.",1324,None,0,English,Paperback,"29.2, 24.1, 3.8",cm,2.81.,kg,9780500292914
"Out of the Box: The Rise of Sneaker Culture  - Garcia, Bobbito ; Semmelhack, Elizabeth ; Lepri, Emanuele",Arts,Arts,"Elizabeth Semmelhack, Bobbito Garcia, Emanuele Lepri",133.44,44.34,2015.0,"""Out of the Box: The Rise of Sneaker Culture "" A groundbreaking traveling exhibition,  Out of the Box showcases sneakers, from the mid-nineteenth century to sports performance breakthroughs, to present-day cultural icons. ﻿Drawn from the collection of the Bata Shoe Museum and significant private collectors, museums, and archives--including adidas AG, Converse Archives, Kosow Sneaker Museum, Nike Archives, Northampton Museums and Art Gallery, and Reebok Archives--this selection is richly contextualized with interviews and essays by design innovators, sneaker collectors, and cultural historians, creating a backdrop of the technical innovation, fashion trends, social history, and marketing campaigns that shaped the form over the past two centuries. Out of the Box includes sneakers ranging from an 1860 spiked running shoe, a pair of 1936 track shoes, Air Jordans I-XX3, the original Air Force 1, and early Adidas Superstars to contemporary sneakers by prominent figures including Damien Hirst, Jeremy Scott, Jeff Staple, and Kanye West. The book also highlights sneakers and prototype drawings that span the career of Nike sneaker design legend Tinker Hatfield, making this the definitive illustrated history of sneaker culture.",1236,None,0,English,Hardcover,"30.5, 25.9, 2.5",cm,1.81.,kg,9780847846603
The Art of DreamWorks the Wild Robot - Peter Brown,Arts,Arts,"Jerry Schmitz, Peter Brown, Lupita Nyong'o",120.91,40.18,,"""The Art of DreamWorks the Wild Robot"" An all-encompassing look at the making of DreamWorks Animation's movie The Wild Robot, based on the New York Times bestselling series from Peter Brown  DREAMWORKS ANIMATION brings to life Peter Brown's bestselling book about a robot stranded on an uninhabited island. Depicting the tale of resilience, kindness, and shared humanity, The Art of DreamWorks The Wild Robot presents hundreds of character designs and concept art from the making of the movie, along with exclusive interviews from the writers, artists, cast, and filmmakers. Featuring a foreword by Lupita Nyong'o, a preface by Peter Brown, an introduction by writer-director Chris Sanders, and an afterword by producer Jeff Hermann, this insider's guide details the elaborate artistry involved in creating the ultimate celebration of nature, family, and the emotional journey of becoming more than one is programmed to be.",923,None,2,English,Hardcover,,,1.37.,kg,9781419773280
Trinity College London Rock & pop 2018 Drums Grade 2 (Trinity Rock & Pop)  -  Varios Autores,Arts,Arts,Varios autores,73.98,24.58,2017.0,"""Trinity College London Rock & pop 2018 Drums Grade 2 (Trinity Rock & Pop) "" Trinity College London's Rock and Pop graded songbooks contain real songs from legendary artists, with specially written performance notes for the Rock and Pop exams from 2018. This book contains material intended for Drums at grade 2.",312,None,0,English,Sheet Music,,,,,9780857366405
"the well-tempered clavier 48 preludes and fugues,complete books i and ii - piano - Bach, Johann Sebastian ; Czerny, Carl",Arts,Arts,"Carl Czerny, Johann Sebastian Bach",76.66,25.47,,"""the well-tempered clavier 48 preludes and fugues,complete books i and ii - piano"" (Piano Collection). This new volume in Schirmer's Library of Musical Classics brings together Books I and II of Bach's classic repertoire at an affordable price.",244,None,0,English,Paperback,"30.2, 22.6, 1.5",cm,0.83.0634099213,kg,9780634099212
